-25	-0.5412	0.2618
-24	-0.5282	0.25194
-23	-0.5069	0.23966
-22	-0.4971	0.23168
-21	-0.4708	0.21851
-19	-0.4344	0.19842
-18	-0.4258	0.18989
-17	-0.4046	0.18021
-16	-0.3864	0.16999
-15	-0.4123	0.1692
-14	-0.3673	0.15354
-13	-0.5266	0.15667
-12	-0.4835	0.14018
-11	-0.4534	0.12493
-10	-0.442	0.11047
-9	-0.4391	0.09544
-7	-0.6517	0.03857
-6	-0.6038	0.0295
-5	-0.522	0.02378
-4	-0.4263	0.02079
-3	-0.2438	0.01835
-2	-0.0789	0.01614
-1	0.0935	0.01541
0	0.3398	0.01433
1	0.4402	0.01378
2	0.5396	0.01393
3	0.6395	0.01458
4	0.7395	0.01549
5	0.8371	0.0165
6	0.9288	0.01763
7	1.0034	0.01944
8	1.0508	0.024
9	1.1044	0.02971
10	1.1746	0.03693
11	1.2066	0.04596
12	1.1693	0.05888
13	1.1095	0.07705
14	0.8795	0.1398
15	0.7917	0.15502
16	0.704	0.17025
17	0.6162	0.18547
18	0.6286	0.19679
19	0.662	0.2116
20	0.6547	0.21927
21	0.6595	0.231
22	0.6745	0.24338
24	0.6966	0.26773
25	0.7161	0.2819
26	0.7206	0.29308
27	0.7313	0.30647
28	0.7419	0.31923
29	0.75	0.33297
30	0.7595	0.34598
30	0.7595	0.34599
31	0.7662	0.35987
32	0.7736	0.37292
33	0.7788	0.38679
34	0.784	0.3998
35	0.7876	0.41328
36	0.7906	0.42632
38	0.7933	0.45185
39	0.7933	0.46356
40	0.792	0.47572
41	0.79	0.48718
42	0.7867	0.49748
43	0.7827	0.50835
44	0.7777	0.51811
45	0.7716	0.52667
45	0.7716	0.52667
46	0.7647	0.53554
47	0.757	0.5434
48	0.7483	0.55
50	0.7284	0.5618
51	0.7173	0.56623
52	0.7052	0.56941
54	0.6795	0.57449
55	0.6655	0.57537
55	0.6655	0.57537
56	0.6508	0.57502
58	0.62	0.57289
59	0.6039	0.57028
60	0.5871	0.56653
63	0.5348	0.55166
64	0.5166	0.54497
65	0.4981	0.53736
65	0.4981	0.53736
67	0.4607	0.52139
68	0.4417	0.51229
69	0.4225	0.50248
72	0.3648	0.47129
73	0.3455	0.46001
74	0.3262	0.44831
